Order Date,Product Name,Category,Region,Quantity,Unit Price,Unit Cost,Sales,Profit,Margin_profit
2/17/2024,Desk,Furniture,North,5,583,210,2915,1865,0.639794168
1/19/2024,Headphones,Accessories,South,9,326,109,2934,1953,0.665644172
1/20/2024,Speaker,Accessories,North,5,340,36,1700,1520,0.894117647
6/12/2024,Laptop,Electronics,East,2,185,156,370,58,0.156756757
6/17/2024,Camera,Electronics,South,1,123,115,123,8,0.06504065
9/16/2024,Camera,Electronics,North,7,11,10,77,7,0.090909091
5/18/2024,Router,Electronics,North,9,166,72,1494,846,0.56626506
11/16/2024,Smartwatch,Electronics,East,1,995,669,995,326,0.327638191
2/7/2024,Router,Electronics,North,9,879,508,7911,3339,0.422070535
4/11/2024,Bed,Furniture,West,8,92,23,736,552,0.75
3/6/2024,Office Chair,Furniture,East,10,860,583,8600,2770,0.322093023
2/8/2024,Laptop,Electronics,North,3,281,248,843,99,0.117437722
5/3/2024,Charger,Accessories,North,1,140,78,140,62,0.442857143
3/18/2024,Bed,Furniture,North,5,614,566,3070,240,0.078175896
1/2/2024,Keyboard,Accessories,South,7,11,6,77,35,0.454545455
9/1/2024,Speaker,Accessories,West,7,817,118,5719,4893,0.855569155
11/9/2024,Printer,Electronics,East,10,818,126,8180,6920,0.84596577
1/13/2024,Headphones,Accessories,North,3,441,172,1323,807,0.609977324
7/29/2024,Router,Electronics,South,7,999,177,6993,5754,0.822822823
8/2/2024,Table,Furniture,North,5,459,382,2295,385,0.167755991
12/3/2024,Laptop,Electronics,North,7,960,255,6720,4935,0.734375
3/10/2024,Monitor,Electronics,West,3,776,100,2328,2028,0.871134021
5/1/2024,Speaker,Accessories,South,8,923,390,7384,4264,0.577464789
7/1/2024,USB Cable,Accessories,West,6,581,192,3486,2334,0.669535284
10/8/2024,Office Chair,Furniture,West,7,352,264,2464,616,0.25
9/3/2024,Sofa,Furniture,North,7,566,37,3962,3703,0.934628975
1/21/2024,Printer,Electronics,South,3,779,503,2337,828,0.354300385
7/28/2024,Smartphone,Electronics,South,9,516,432,4644,756,0.162790698
2/14/2024,Office Chair,Furniture,East,9,465,394,4185,639,0.152688172
8/3/2024,Printer,Electronics,East,2,484,40,968,888,0.917355372
3/5/2024,Bed,Furniture,North,6,984,366,5904,3708,0.62804878
3/10/2024,Printer,Electronics,South,6,313,193,1878,720,0.383386581
12/20/2024,Printer,Electronics,North,7,391,54,2737,2359,0.861892583
6/19/2024,Sofa,Furniture,North,2,116,109,232,14,0.060344828
10/4/2024,Desk,Furniture,South,3,285,36,855,747,0.873684211
1/8/2024,Bookshelf,Furniture,West,6,714,46,4284,4008,0.93557423
3/16/2024,Bed,Furniture,East,5,150,72,750,390,0.52
11/22/2024,Camera,Electronics,South,1,938,484,938,454,0.484008529
2/6/2024,Tablet,Electronics,South,4,92,52,368,160,0.434782609
4/14/2024,Bookshelf,Furniture,East,9,159,127,1431,288,0.201257862
6/27/2024,Router,Electronics,North,1,230,17,230,213,0.926086957
8/23/2024,Keyboard,Accessories,South,5,461,222,2305,1195,0.518438178
8/27/2024,Tablet,Electronics,West,8,191,8,1528,1464,0.958115183
7/27/2024,Speaker,Accessories,North,1,611,211,611,400,0.654664484
12/29/2024,Router,Electronics,South,9,920,130,8280,7110,0.858695652
3/7/2024,Bookshelf,Furniture,West,3,417,220,1251,591,0.472422062
2/22/2024,Monitor,Electronics,East,8,636,180,5088,3648,0.716981132
12/22/2024,Sofa,Furniture,East,4,542,17,2168,2100,0.968634686
9/23/2024,Mouse,Accessories,North,6,934,891,5604,258,0.046038544
7/22/2024,Smartphone,Electronics,North,10,361,314,3610,470,0.130193906
11/21/2024,Smartphone,Electronics,South,10,436,401,4360,350,0.080275229
9/10/2024,USB Cable,Accessories,South,7,811,421,5677,2730,0.480887793
2/26/2024,Desk,Furniture,East,9,802,552,7218,2250,0.311720698
8/21/2024,USB Cable,Accessories,South,8,426,343,3408,664,0.194835681
4/29/2024,Laptop,Electronics,East,8,281,96,2248,1480,0.658362989
8/12/2024,Headphones,Accessories,South,6,89,69,534,120,0.224719101
11/22/2024,Smartphone,Electronics,North,9,11,5,99,54,0.545454545
10/11/2024,Bed,Furniture,West,7,497,93,3479,2828,0.812877264
3/14/2024,Monitor,Electronics,South,2,454,61,908,786,0.865638767
9/6/2024,USB Cable,Accessories,West,6,185,133,1110,312,0.281081081
2/24/2024,Tablet,Electronics,North,10,941,648,9410,2930,0.311370882
9/30/2024,Router,Electronics,East,10,363,95,3630,2680,0.738292011
11/20/2024,USB Cable,Accessories,South,9,649,275,5841,3366,0.576271186
10/26/2024,Charger,Accessories,West,3,540,300,1620,720,0.444444444
2/7/2024,Camera,Electronics,South,8,444,170,3552,2192,0.617117117
9/14/2024,Camera,Electronics,North,8,308,272,2464,288,0.116883117
7/22/2024,Headphones,Accessories,East,3,603,70,1809,1599,0.883913765
3/26/2024,Camera,Electronics,South,3,964,403,2892,1683,0.581950207
1/17/2024,Router,Electronics,West,2,418,416,836,4,0.004784689
10/27/2024,Desk,Furniture,East,2,72,32,144,80,0.555555556
9/5/2024,Speaker,Accessories,West,3,590,215,1770,1125,0.63559322
9/30/2024,Router,Electronics,North,10,496,260,4960,2360,0.475806452
11/1/2024,Router,Electronics,East,9,247,210,2223,333,0.149797571
10/11/2024,Office Chair,Furniture,South,2,173,87,346,172,0.497109827
11/9/2024,Monitor,Electronics,South,8,203,112,1624,728,0.448275862
5/19/2024,Tablet,Electronics,East,8,314,234,2512,640,0.25477707
7/12/2024,Smartwatch,Electronics,West,1,81,46,81,35,0.432098765
8/30/2024,Speaker,Accessories,West,2,464,411,928,106,0.114224138
7/31/2024,Tablet,Electronics,West,4,774,152,3096,2488,0.803617571
12/22/2024,Monitor,Electronics,South,6,361,331,2166,180,0.083102493
7/30/2024,Printer,Electronics,North,1,257,59,257,198,0.770428016
7/29/2024,Monitor,Electronics,East,6,329,228,1974,606,0.306990881
8/18/2024,Charger,Accessories,South,10,373,345,3730,280,0.075067024
6/3/2024,Bookshelf,Furniture,South,5,482,316,2410,830,0.34439834
10/28/2024,Camera,Electronics,North,10,479,403,4790,760,0.158663883
4/17/2024,Tablet,Electronics,South,8,19,12,152,56,0.368421053
8/26/2024,Smartwatch,Electronics,West,7,797,529,5579,1876,0.336260979
5/27/2024,Sofa,Furniture,South,4,654,211,2616,1772,0.677370031
12/5/2024,USB Cable,Accessories,East,5,398,74,1990,1620,0.814070352
1/4/2024,Desk,Furniture,South,7,906,809,6342,679,0.107064018
2/20/2024,Headphones,Accessories,South,7,218,195,1526,161,0.105504587
2/13/2024,Table,Furniture,East,1,79,56,79,23,0.291139241
8/3/2024,Table,Furniture,East,10,696,167,6960,5290,0.760057471
